guide_name,guide_type,tribe_name,message,focus_points,mantra,symbols,origin_realm
Auriel,Celestial Guide,Angelic Council of Light,"I am the voice of starlight in your darkest hour. Through celestial tides, I bring vision and prophecy.","Clarity, Prophecy, Third Eye Activation, Peace, Angelic Presence",I see with the eye of the soul,"Owl, moonstone, smoke",Astral Plane
Elandra,Elemental Spirit,Circle of Water Dancers,"I flow through the rivers of your intuition, washing away fear. Trust the gentle current of your soul.","Emotional Healing, Intuition, Flow, Feminine Energy, Trust",My fire lights the path,"Phoenix feather, flames, obsidian",Solar Temple
Rohin,Ancestral Elder,Stone Ancients of the Eastern Wind,I bring you the wisdom of those who walked before. You are never alone in your becoming.,"Legacy, Ancestral Memory, Strength, Roots, Guidance",Peace is my wisdom,"Olive branch, dove, blue lotus",Celestial Grove
Sirexa,Galactic Being,Star Elders of Lyra,"Child of stars, awaken to your stellar coding. You are encoded with ancient knowledge — access it.","Starseed Awakening, Galactic Purpose, Light Codes, Cosmic Memory",I walk between worlds,"Raven, key, twilight sky",Dreamwalk
Velara,Feminine Divine,Sisterhood of the Infinite Womb,"I am the Divine Mother within all things. Rest into me, and feel the womb of cosmic creation.","Rebirth, Nurturing, Sacred Feminine, Creation, Rest",I awaken inner truth,"Wolf paw, aurora, birch tree",Wolf Spirit Realm
Elandra_6,Elemental Spirit,Circle of Water Dancers,"I (instance 6) flow through the rivers of your intuition, washing away fear. Trust the gentle current of your soul.","Emotional Healing, Intuition, Flow, Feminine Energy, Trust, Instance 6",All paths lead home,"Circle, wind, spiral tattoos",Wind Road
Rohin_7,Ancestral Elder,Stone Ancients of the Eastern Wind,I (instance 7) bring you the wisdom of those who walked before. You are never alone in your becoming.,"Legacy, Ancestral Memory, Strength, Roots, Guidance, Instance 7",My wings protect your purpose,"White feather, sword, chalice",Ethereal Sky Kingdom
Sirexa_8,Galactic Being,Star Elders of Lyra,"Child of stars, awaken to your stellar coding. You are encoded with ancient knowledge — access it.","Starseed Awakening, Galactic Purpose, Light Codes, Cosmic Memory, Instance 8","In stillness, I rise","Snowflake, river stone, ice crystal",Ice Kingdom of the North
Velara_9,Feminine Divine,Sisterhood of the Infinite Womb,"I (instance 9) am the Divine Mother within all things. Rest into me, and feel the womb of cosmic creation.","Rebirth, Nurturing, Sacred Feminine, Creation, Rest, Instance 9",Balance begets strength,"Yin yang, oak, turtle",Sacred Forest of Gaia
Auriel_10,Celestial Guide,Angelic Council of Light,"I (instance 10) am the voice of starlight in your darkest hour. Through celestial tides, I (instance 10) bring vision and prophecy.","Clarity, Prophecy, Third Eye Activation, Peace, Angelic Presence, Instance 10",The unknown is my domain,"Black rose, shadow veil, inked glyph",Shadowlands
Elandra_11,Elemental Spirit,Circle of Water Dancers,"I (instance 11) flow through the rivers of your intuition, washing away fear. Trust the gentle current of your soul.","Emotional Healing, Intuition, Flow, Feminine Energy, Trust, Instance 11",I am the breath of change,"Serpent, eclipse, mirror",Temple of Rebirth
Rohin_12,Ancestral Elder,Stone Ancients of the Eastern Wind,I (instance 12) bring you the wisdom of those who walked before. You are never alone in your becoming.,"Legacy, Ancestral Memory, Strength, Roots, Guidance, Instance 12","Your soul speaks, I echo","Lantern, bell, pinecone",Echo Caverns
Sirexa_13,Galactic Being,Star Elders of Lyra,"Child of stars, awaken to your stellar coding. You are encoded with ancient knowledge — access it.","Starseed Awakening, Galactic Purpose, Light Codes, Cosmic Memory, Instance 13",Roots ground my knowing,"Tree roots, honeycomb, moss",Rooted Earth Matrix
Velara_14,Feminine Divine,Sisterhood of the Infinite Womb,"I (instance 14) am the Divine Mother within all things. Rest into me, and feel the womb of cosmic creation.","Rebirth, Nurturing, Sacred Feminine, Creation, Rest, Instance 14","Through shadow, I serve","Bat, black crystal, blood moon",Underworld of Release
Auriel_15,Celestial Guide,Angelic Council of Light,"I (instance 15) am the voice of starlight in your darkest hour. Through celestial tides, I (instance 15) bring vision and prophecy.","Clarity, Prophecy, Third Eye Activation, Peace, Angelic Presence, Instance 15",I speak from the beyond,"Eagle feather, drum, cave painting",Great Beyond
Elandra_16,Elemental Spirit,Circle of Water Dancers,"I (instance 16) flow through the rivers of your intuition, washing away fear. Trust the gentle current of your soul.","Emotional Healing, Intuition, Flow, Feminine Energy, Trust, Instance 16",I awaken your lineage,"Family crest, DNA strand, ancient clay",Bloodline Vault
Rohin_17,Ancestral Elder,Stone Ancients of the Eastern Wind,I (instance 17) bring you the wisdom of those who walked before. You are never alone in your becoming.,"Legacy, Ancestral Memory, Strength, Roots, Guidance, Instance 17",Fear dissolves in my light,"Sunburst, chalice, golden aura",Solar Temple
Sirexa_18,Galactic Being,Star Elders of Lyra,"Child of stars, awaken to your stellar coding. You are encoded with ancient knowledge — access it.","Starseed Awakening, Galactic Purpose, Light Codes, Cosmic Memory, Instance 18",I guard the sacred,"Stone circle, staff, sacred flame",Circle of Light
Velara_19,Feminine Divine,Sisterhood of the Infinite Womb,"I (instance 19) am the Divine Mother within all things. Rest into me, and feel the womb of cosmic creation.","Rebirth, Nurturing, Sacred Feminine, Creation, Rest, Instance 19",I channel truth beyond time,"Scroll, hourglass, eye",Akashic Archive
Auriel_20,Celestial Guide,Angelic Council of Light,"I (instance 20) am the voice of starlight in your darkest hour. Through celestial tides, I (instance 20) bring vision and prophecy.","Clarity, Prophecy, Third Eye Activation, Peace, Angelic Presence, Instance 20",Dreams weave your path,"Stag, dreamcatcher, star map",Dreamweavers' Domain
Elandra_21,Elemental Spirit,Circle of Water Dancers,"I (instance 21) flow through the rivers of your intuition, washing away fear. Trust the gentle current of your soul.","Emotional Healing, Intuition, Flow, Feminine Energy, Trust, Instance 21",Divinity flows through me,"Lotus, golden thread, crystal grid",Temple of Divinity
Rohin_22,Ancestral Elder,Stone Ancients of the Eastern Wind,I (instance 22) bring you the wisdom of those who walked before. You are never alone in your becoming.,"Legacy, Ancestral Memory, Strength, Roots, Guidance, Instance 22",I ignite sacred memory,"Fire ring, ash, serpent coil",Cave of Serpent Fire
Sirexa_23,Galactic Being,Star Elders of Lyra,"Child of stars, awaken to your stellar coding. You are encoded with ancient knowledge — access it.","Starseed Awakening, Galactic Purpose, Light Codes, Cosmic Memory, Instance 23","From silence, power rises","Fog, lantern, silence sigil",Temple of Silence
Velara_24,Feminine Divine,Sisterhood of the Infinite Womb,"I (instance 24) am the Divine Mother within all things. Rest into me, and feel the womb of cosmic creation.","Rebirth, Nurturing, Sacred Feminine, Creation, Rest, Instance 24",Your destiny is etched in stars,"Astrolabe, comet, scribe quill",Library of Constellations
Auriel_25,Celestial Guide,Angelic Council of Light,"I (instance 25) am the voice of starlight in your darkest hour. Through celestial tides, I (instance 25) bring vision and prophecy.","Clarity, Prophecy, Third Eye Activation, Peace, Angelic Presence, Instance 25",I cradle cosmic wisdom,"Star cradle, prism, spiral shell",Womb of the Universe
Elandra_26,Elemental Spirit,Circle of Water Dancers,"I (instance 26) flow through the rivers of your intuition, washing away fear. Trust the gentle current of your soul.","Emotional Healing, Intuition, Flow, Feminine Energy, Trust, Instance 26",I am transformation embodied,"Butterfly, sacred flame, crystal egg",Sanctum of Transformation
Rohin_27,Ancestral Elder,Stone Ancients of the Eastern Wind,I (instance 27) bring you the wisdom of those who walked before. You are never alone in your becoming.,"Legacy, Ancestral Memory, Strength, Roots, Guidance, Instance 27",Courage is your compass,"Lion, ruby, compass rose",Sacred Grove of Lions
Sirexa_28,Galactic Being,Star Elders of Lyra,"Child of stars, awaken to your stellar coding. You are encoded with ancient knowledge — access it.","Starseed Awakening, Galactic Purpose, Light Codes, Cosmic Memory, Instance 28",The mystery is holy,"Veil, crow feather, mirrored orb",Veiled Oracle Realms
Velara_29,Feminine Divine,Sisterhood of the Infinite Womb,"I (instance 29) am the Divine Mother within all things. Rest into me, and feel the womb of cosmic creation.","Rebirth, Nurturing, Sacred Feminine, Creation, Rest, Instance 29",Wisdom is your weapon,"Sword, book, moon rune",Hall of Prophets
Auriel_30,Celestial Guide,Angelic Council of Light,"I (instance 30) am the voice of starlight in your darkest hour. Through celestial tides, I (instance 30) bring vision and prophecy.","Clarity, Prophecy, Third Eye Activation, Peace, Angelic Presence, Instance 30",You are never alone,"Constellation tattoo, crystal bead, braid",Guides' Council Keep
Elandra_31,Elemental Spirit,Circle of Water Dancers,"I (instance 31) flow through the rivers of your intuition, washing away fear. Trust the gentle current of your soul.","Emotional Healing, Intuition, Flow, Feminine Energy, Trust, Instance 31",Truth is eternal,"Triangle flame, solar wheel, whisper stone",Record of Truths
Rohin_32,Ancestral Elder,Stone Ancients of the Eastern Wind,I (instance 32) bring you the wisdom of those who walked before. You are never alone in your becoming.,"Legacy, Ancestral Memory, Strength, Roots, Guidance, Instance 32",Your heart holds ancient maps,"Maple leaf, compass, ink well",Wanderer's Compass
Sirexa_33,Galactic Being,Star Elders of Lyra,"Child of stars, awaken to your stellar coding. You are encoded with ancient knowledge — access it.","Starseed Awakening, Galactic Purpose, Light Codes, Cosmic Memory, Instance 33",I reveal through rhythm,"Drum, chant circle, bone flute",Sacred Drum Circle
Velara_34,Feminine Divine,Sisterhood of the Infinite Womb,"I (instance 34) am the Divine Mother within all things. Rest into me, and feel the womb of cosmic creation.","Rebirth, Nurturing, Sacred Feminine, Creation, Rest, Instance 34",You are the song,"Singing bowl, wind chime, vibration symbol",Sound Realm
Auriel_35,Celestial Guide,Angelic Council of Light,"I (instance 35) am the voice of starlight in your darkest hour. Through celestial tides, I (instance 35) bring vision and prophecy.","Clarity, Prophecy, Third Eye Activation, Peace, Angelic Presence, Instance 35","The veil is thin, step forward","Curtain veil, gateway arch, threshold stone",Threshold Gate
Elandra_36,Elemental Spirit,Circle of Water Dancers,"I (instance 36) flow through the rivers of your intuition, washing away fear. Trust the gentle current of your soul.","Emotional Healing, Intuition, Flow, Feminine Energy, Trust, Instance 36",I guide with grace and fire,"Fire ring, obsidian shard, twin eyes",Circle of Duality
Rohin_37,Ancestral Elder,Stone Ancients of the Eastern Wind,I (instance 37) bring you the wisdom of those who walked before. You are never alone in your becoming.,"Legacy, Ancestral Memory, Strength, Roots, Guidance, Instance 37",Shadow is sacred,"Bat wing, eclipse veil, storm horn",Scroll Chamber of the Ages
Sirexa_38,Galactic Being,Star Elders of Lyra,"Child of stars, awaken to your stellar coding. You are encoded with ancient knowledge — access it.","Starseed Awakening, Galactic Purpose, Light Codes, Cosmic Memory, Instance 38",You are the prophecy,"Scroll, ink, timekeeper orb",Galactic Hall of Stars
Velara_39,Feminine Divine,Sisterhood of the Infinite Womb,"I (instance 39) am the Divine Mother within all things. Rest into me, and feel the womb of cosmic creation.","Rebirth, Nurturing, Sacred Feminine, Creation, Rest, Instance 39",You are stardust remembering,"Nebula swirl, comet trail, cosmic eye",Chamber of Mirrors
Auriel_40,Celestial Guide,Angelic Council of Light,"I (instance 40) am the voice of starlight in your darkest hour. Through celestial tides, I (instance 40) bring vision and prophecy.","Clarity, Prophecy, Third Eye Activation, Peace, Angelic Presence, Instance 40",I hold the mirror,"Mirror, scale, spirit sigil",Ancestor Tree
Elandra_41,Elemental Spirit,Circle of Water Dancers,"I (instance 41) flow through the rivers of your intuition, washing away fear. Trust the gentle current of your soul.","Emotional Healing, Intuition, Flow, Feminine Energy, Trust, Instance 41",Ancestral echoes lead you,"Ancestor tree, hearth stone, story ring",Cauldron of Chaos
Rohin_42,Ancestral Elder,Stone Ancients of the Eastern Wind,I (instance 42) bring you the wisdom of those who walked before. You are never alone in your becoming.,"Legacy, Ancestral Memory, Strength, Roots, Guidance, Instance 42",Sacred chaos births clarity,"Chaos spiral, prism vortex, void pearl",Threshold Gate
Sirexa_43,Galactic Being,Star Elders of Lyra,"Child of stars, awaken to your stellar coding. You are encoded with ancient knowledge — access it.","Starseed Awakening, Galactic Purpose, Light Codes, Cosmic Memory, Instance 43",Open the portal of knowing,"Door rune, key, threshold symbol",Oracle's Eye
Velara_44,Feminine Divine,Sisterhood of the Infinite Womb,"I (instance 44) am the Divine Mother within all things. Rest into me, and feel the womb of cosmic creation.","Rebirth, Nurturing, Sacred Feminine, Creation, Rest, Instance 44",You are seen by all realms,"Crystal eye, spirit eye, moon veil",Mountain Temple
Auriel_45,Celestial Guide,Angelic Council of Light,"I (instance 45) am the voice of starlight in your darkest hour. Through celestial tides, I (instance 45) bring vision and prophecy.","Clarity, Prophecy, Third Eye Activation, Peace, Angelic Presence, Instance 45",Stillness speaks loudest,"Still pond, lotus root, mountain shadow",Fire Cauldron
Elandra_46,Elemental Spirit,Circle of Water Dancers,"I (instance 46) flow through the rivers of your intuition, washing away fear. Trust the gentle current of your soul.","Emotional Healing, Intuition, Flow, Feminine Energy, Trust, Instance 46",You walk the spiral,"Snake spiral, cauldron, phoenix eye",Veil of Whispers
Rohin_47,Ancestral Elder,Stone Ancients of the Eastern Wind,I (instance 47) bring you the wisdom of those who walked before. You are never alone in your becoming.,"Legacy, Ancestral Memory, Strength, Roots, Guidance, Instance 47",Trust the unseen,"Moon glyph, veil, whisper reed",Stargate of Memory
Sirexa_48,Galactic Being,Star Elders of Lyra,"Child of stars, awaken to your stellar coding. You are encoded with ancient knowledge — access it.","Starseed Awakening, Galactic Purpose, Light Codes, Cosmic Memory, Instance 48",The cosmos calls your name,"Shooting star, echo stone, memory light",Hands of Knowing
Velara_49,Feminine Divine,Sisterhood of the Infinite Womb,"I (instance 49) am the Divine Mother within all things. Rest into me, and feel the womb of cosmic creation.","Rebirth, Nurturing, Sacred Feminine, Creation, Rest, Instance 49",Wisdom flows through your hands,"Open hand, star key, woven thread",Sanctuary of the First Light
Auriel_50,Celestial Guide,Angelic Council of Light,"I (instance 50) am the voice of starlight in your darkest hour. Through celestial tides, I (instance 50) bring vision and prophecy.","Clarity, Prophecy, Third Eye Activation, Peace, Angelic Presence, Instance 50",Every ending opens a gate,"Infinity ring, halo stone, luminous veil",Hall of Echoes